comparison,target_model,reference_model,domain,resolution,variable_group,variable,row_label,level_hpa,lead_hour,lead_label,rmse_improvement_pct
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,216,D9,-13.746
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,240,D10,-12.341
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,24,D1,-10.055
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,48,D2,-13.618
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,72,D3,-16.573
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,96,D4,-19.451
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,120,D5,-19.867
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,144,D6,-19.462
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,168,D7,-16.694
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,192,D8,-14.394
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,216,D9,-12.224
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,240,D10,-10.413
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,24,D1,-9.998
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,48,D2,-11.835
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,72,D3,-14.44
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,96,D4,-16.499
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,120,D5,-16.509
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,144,D6,-15.942
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,168,D7,-13.62
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,192,D8,-12.427
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,216,D9,-10.203
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,240,D10,-8.411
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,24,D1,-9.399
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,48,D2,-14.884
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,72,D3,-21.032
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,96,D4,-24.969
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,120,D5,-24.649
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,144,D6,-23.034
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,168,D7,-19.229
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,192,D8,-14.67
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,216,D9,-11.128
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,240,D10,-10.551
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,24,D1,-9.907
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,48,D2,-13.89
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,72,D3,-18.476
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,96,D4,-20.896
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,120,D5,-19.694
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,144,D6,-19.244
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,168,D7,-15.512
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,192,D8,-12.303
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,216,D9,-9.549
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,240,D10,-8.638
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,24,D1,-9.756
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,48,D2,-11.922
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,72,D3,-14.518
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,96,D4,-17.421
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,120,D5,-16.705
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,144,D6,-14.622
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,168,D7,-13.528
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,192,D8,-10.38
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 850,850,216,D9,-7.942
