plot,region,model,metric,variable,level,n,mean,median,std,min,max
global_conus_temperature500_rmse,global,nested_eagle_global,rmse,temperature,500,11296,2.3564612993670275,2.076854370173493,1.4068417846455357,0.11458007022608317,14.359740517316052
global_conus_temperature500_rmse,global,gfs,rmse,temperature,500,11296,2.44154818678379,2.176149821626503,1.4346569391865003,0.16181046220161746,15.216359762966352
global_conus_temperature500_rmse,global,aigfs,rmse,temperature,500,11296,2.213747365538686,1.9337557289529848,1.343026289932675,0.056324791883511506,13.830259727816202
global_conus_temperature500_rmse,conus,nested_eagle_global,rmse,temperature,500,10071,2.004072326352877,1.5568348445488804,1.6678685556109163,0.0008422851562386313,26.38878916375543
global_conus_temperature500_rmse,conus,gfs,rmse,temperature,500,10071,2.1128742935352856,1.6528187743177627,1.801046223270659,0.0011474609374886313,27.586551624303553
global_conus_temperature500_rmse,conus,aigfs,rmse,temperature,500,10071,1.872865639176138,1.4213446894994677,1.6331124812798647,0.002166748046875,25.566066783720785
