comparison,target_model,reference_model,domain,resolution,variable_group,variable,row_label,level_hpa,lead_hour,lead_label,rmse_improvement_pct
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 250,250,18,18h,9.456
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 250,250,24,24h,13.377
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 250,250,30,30h,15.916
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 250,250,36,36h,17.789
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 250,250,42,42h,22.761
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 250,250,48,48h,20.94
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,0,0h,0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,6,6h,-4.652
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,12,12h,3.781
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,18,18h,4.385
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,24,24h,8.865
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,30,30h,14.102
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,36,36h,14.586
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,42,42h,10.291
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 500,500,48,48h,16.945
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,0,0h,0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,6,6h,-2.36
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,12,12h,3.872
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,18,18h,5.322
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,24,24h,12.374
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,30,30h,9.477
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,36,36h,13.331
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,42,42h,16.571
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,zonal_wind,zonal_wind,zonal_wind 850,850,48,48h,18.445
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,0,0h,0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,6,6h,-3.554
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,12,12h,8.981
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,18,18h,7.006
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,24,24h,15.104
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,30,30h,21.553
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,36,36h,18.421
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,42,42h,17.087
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 250,250,48,48h,21.078
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,6,6h,-1.838
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,12,12h,4.547
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,18,18h,2.649
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,24,24h,11.085
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,30,30h,9.553
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,36,36h,14.273
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,42,42h,9.04
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 500,500,48,48h,17.786
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,6,6h,6.582
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,12,12h,4.924
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,18,18h,8.483
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,24,24h,13.099
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,30,30h,11.299
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,36,36h,14.124
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,42,42h,8.46
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,meridional_wind,meridional_wind,meridional_wind 850,850,48,48h,18.906
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,6,6h,16.359
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,12,12h,10.849
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,18,18h,20.004
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,24,24h,19.39
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,30,30h,25.642
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,36,36h,24.992
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,42,42h,31.792
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 250,250,48,48h,29.351
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,6,6h,10.428
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,12,12h,15.413
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,18,18h,9.563
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,temperature,temperature,temperature 500,500,24,24h,17.61
